"행정구역별",2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023,2024,2024
"행정구역별",자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당),자연증가건수 (명),자연증가율 (천명당)
"서울특별시",39952,4.0,31996,3.3,22457,2.3,12855,1.3,9844,1.0,1923,0.2,-3267,-0.3,-12694,-1.4,-11990,-1.3,-11120,-1.2
"부산광역시",5825,1.7,3832,1.1,46,0.0,-3418,-1.0,-5211,-1.5,-7892,-2.3,-9085,-2.7,-13579,-4.1,-13437,-4.1,-13753,-4.2
"대구광역시",6357,2.6,4796,1.9,2317,0.9,330,0.1,-519,-0.2,-3267,-1.4,-3899,-1.6,-7458,-3.2,-7146,-3.0,-6672,-2.8
"인천광역시",12039,4.2,9490,3.3,6155,2.1,4771,1.6,3391,1.2,351,0.1,-1546,-0.5,-4493,-1.5,-4583,-1.5,-3591,-1.2
"광주광역시",4998,3.4,4333,3.0,2560,1.8,1324,0.9,729,0.5,-467,-0.3,-25,0.0,-1904,-1.3,-2694,-1.9,-3102,-2.2
"대전광역시",6813,4.5,5478,3.6,3822,2.6,1934,1.3,908,0.6,-91,-0.1,-475,-0.3,-1625,-1.1,-1483,-1.0,-1576,-1.1
"울산광역시",6817,5.9,5963,5.1,4495,3.9,2800,2.4,2271,2.0,1315,1.2,634,0.6,-970,-0.9,-994,-0.9,-1061,-1.0
